node_id,node_type,title,status,category,source_ref,path_or_ref
M-0001,mechanic,Water Worlds Have No Surface Slots,Confirmed,body_constraints,"EXP-0000; M-0001","mechanics/M-0001-water-worlds-have-no-surface-slots.md"
M-0002,mechanic,Station Economy Is Inherited Not Manually Chosen,Confirmed,economy,"EXP-0000; EV-0003","mechanics/M-0002-station-economy-is-inherited.md"
M-0003,mechanic,One Weak Refinery Link Is Insufficient To Restore Metals,Confirmed,economy_negative_evidence,"EXP-0000; EV-0002","mechanics/M-0003-one-weak-refinery-link-is-insufficient-to-restore-metals.md"
M-0004,mechanic,Construction Points and Facility Tiers,Likely,construction,"EV-0004","mechanics/M-0004-construction-points-and-facility-tiers.md"
M-0005,mechanic,Colony-Type and Specialised Ports,Likely,port_taxonomy,"EV-0003; EV-0004","mechanics/M-0005-colony-type-and-specialised-ports.md"
M-0006,mechanic,Strong and Weak Link Routing,Likely,market_links,"EV-0001; EV-0004","mechanics/M-0006-strong-and-weak-link-routing.md"
M-0007,mechanic,Colony Port Economy Inheritance,Likely,economy,"EV-0001; EV-0003; EV-0004","mechanics/M-0007-colony-port-economy-inheritance.md"
M-0008,mechanic,Local Body Base Economies and Modifiers,Likely,economy_body_effects,"EV-0004","mechanics/M-0008-local-body-base-economies-and-modifiers.md"
EXP-0000,experiment,Wregoe Methodology Seed,Active,methodology,"EXP-0000","experiments/EXP-0000-wregoe-methodology-seed.md"
EXP-0001,experiment,A4 Complementary High Tech Role,Awaiting completion,economy_experiment,"EXP-0001","experiments/EXP-0001-a4-complementary-high-tech-role.md"
EV-0001,evidence,Rocha Liberty Post High Tech Build Evidence,Analyst reviewed,screenshot_evidence,"EV-0001","evidence/EV-0001-rocha-liberty-post-high-tech-build.md"
EV-0002,evidence,Wregoe Raven Proposed Build Review,Analyst reviewed,planner_screenshot,"EV-0002","evidence/EV-0002-wregoe-raven-proposed-build-review.md"
EV-0003,evidence,A4 T3 Station Selection Preview Evidence,Analyst reviewed,architect_preview,"EV-0003","evidence/EV-0003-a4-t3-station-selection-previews.md"
EV-0004,evidence,Colonisation Reference Documents Pack,Analyst reviewed,reference_pack_metadata,"EV-0004","evidence/EV-0004-reference-documents-pack.md"
PR-0001,planner_rule,Optimize objectives not isolated facilities,Confirmed,decision_model,"decision_support_model","planner/planner_rules_register.md"
PR-0002,planner_rule,Block impossible builds,Confirmed,safety,"planner_safety; M-0001","planner/planner_rules_register.md"
PR-0003,planner_rule,Never imply direct station economy selection,Confirmed,economy_safety,"planner_safety; M-0002; M-0007","planner/planner_rules_register.md"
PR-0004,planner_rule,Prefer local strong links for targeted shaping,Likely,economy_strategy,"M-0003; M-0006","planner/planner_rules_register.md"
PR-0005,planner_rule,Treat visible arrows as incomplete routing evidence,Likely,analysis_safety,"M-0006","planner/planner_rules_register.md"
PR-0006,planner_rule,Distinguish current buildability from proposed-plan totals,Likely,construction_safety,"EV-0002; M-0004","planner/planner_rules_register.md"
PR-0007,planner_rule,Preserve negative evidence and contradictions,Confirmed,research_safety,"project_principles; planner_safety","planner/planner_rules_register.md"
PR-0008,planner_rule,Label every recommendation by confidence band,Confirmed,safety,"planner_safety","planner/planner_rules_register.md"
PR-0009,planner_rule,Never universalize a contextual strategy,Confirmed,decision_model,"decision_support_model; EXP-0001","planner/planner_rules_register.md"
PR-0010,planner_rule,Suggest experiments when confidence is weak,Confirmed,research_workflow,"planner_safety; experiments/README","planner/planner_rules_register.md"
KP-0001,knowledge_projection_rule,Planner consumes projections not raw evidence,Confirmed,knowledge_projection,"platform_architecture","planner/knowledge_projection_rules.md"
KP-0002,knowledge_projection_rule,Experimental and disputed mechanics are not silent defaults,Confirmed,knowledge_projection,"platform_architecture; planner_safety","planner/knowledge_projection_rules.md"
KP-0003,knowledge_projection_rule,Unsupported requests should be blocked not softened,Confirmed,knowledge_projection,"planner_safety","planner/knowledge_projection_rules.md"
KP-0004,knowledge_projection_rule,Recommendations must show what would change them,Confirmed,knowledge_projection,"decision_support_model","planner/knowledge_projection_rules.md"
KP-0005,knowledge_projection_rule,Unknown is a valid published state,Confirmed,knowledge_projection,"project_principles; planner_safety","planner/knowledge_projection_rules.md"
KP-0006,knowledge_projection_rule,Historical evidence should not masquerade as current state,Confirmed,knowledge_projection,"planner_safety; data_sources_review","planner/knowledge_projection_rules.md"
KP-0007,knowledge_projection_rule,Contradiction cases can block publication,Confirmed,knowledge_projection,"platform_architecture","planner/knowledge_projection_rules.md"
KP-0008,knowledge_projection_rule,Planner-safe knowledge is version-aware,Confirmed,knowledge_projection,"knowledge_versioning; project_principles","planner/knowledge_projection_rules.md"
KP-0009,knowledge_projection_rule,Demolition advice requires stronger evidence than additive advice,Confirmed,knowledge_projection,"planner_safety; EV-0002","planner/knowledge_projection_rules.md"
KP-0010,knowledge_projection_rule,Complementary-role strategies must remain contextual,Confirmed,knowledge_projection,"EXP-0001; decision_support_model","planner/knowledge_projection_rules.md"
CD-0001,coverage_dimension,Commodity coverage,Confirmed,planning,"decision_support_model; roles_assets_strategies","planner/coverage_dimensions_register.md"
CD-0002,coverage_dimension,Service coverage,Confirmed,planning,"decision_support_model; roles_assets_strategies","planner/coverage_dimensions_register.md"
CD-0003,coverage_dimension,Mission and activity coverage,Confirmed,planning,"decision_support_model; roles_assets_strategies","planner/coverage_dimensions_register.md"
CD-0004,coverage_dimension,Economy-shaping coverage,Confirmed,planning,"decision_support_model; M-0006","planner/coverage_dimensions_register.md"
CD-0005,coverage_dimension,Construction progression coverage,Confirmed,planning,"decision_support_model; M-0004","planner/coverage_dimensions_register.md"
CD-0006,coverage_dimension,Body-role coverage,Confirmed,planning,"roles_assets_strategies","planner/coverage_dimensions_register.md"
CD-0007,coverage_dimension,Resilience and redundancy coverage,Confirmed,planning,"roles_assets_strategies; M-0003; M-0006","planner/coverage_dimensions_register.md"
CD-0008,coverage_dimension,Confidence coverage,Confirmed,planning,"planner_safety; confidence_model_register","planner/coverage_dimensions_register.md"
CS-0001,contextual_strategy,Industrial Anchor plus High Tech Support Body,Experimental,strategy,"EXP-0001; EV-0001","planner/contextual_strategy_register.md"
CS-0002,contextual_strategy,Prefer local same-body shaping before remote spillover,Likely,strategy,"M-0003; M-0006","planner/contextual_strategy_register.md"
CS-0003,contextual_strategy,Use under-utilized bodies to fill gaps not mirror the strongest body,Confirmed,strategy,"decision_support_model; EXP-0001","planner/contextual_strategy_register.md"
CS-0004,contextual_strategy,Demolition is a late-stage strategy not a first response,Confirmed,strategy,"planner_safety; EV-0002","planner/contextual_strategy_register.md"
MD-0001,mechanic_dependency,Station economy inheritance depends on rejecting manual economy choice,Confirmed,mechanic_dependency,"M-0002; M-0007","mechanics/mechanic_dependency_register.md"
MD-0002,mechanic_dependency,Port taxonomy precedes economy inheritance modeling,Likely,mechanic_dependency,"M-0005; M-0007","mechanics/mechanic_dependency_register.md"
MD-0003,mechanic_dependency,Body-economy modeling depends on inherited-economy assumptions,Likely,mechanic_dependency,"M-0007; M-0008","mechanics/mechanic_dependency_register.md"
MD-0004,mechanic_dependency,Weak-link insufficiency is a special case inside routing,Confirmed,mechanic_dependency,"M-0003; M-0006","mechanics/mechanic_dependency_register.md"
MD-0005,mechanic_dependency,Main-port routing interpretations depend on port hierarchy and state,Likely,mechanic_dependency,"M-0004; M-0005; M-0006","mechanics/mechanic_dependency_register.md"
MD-0006,mechanic_dependency,Construction-point planning depends on state interpretation,Likely,mechanic_dependency,"M-0004; EV-0002","mechanics/mechanic_dependency_register.md"
MD-0007,mechanic_dependency,Body constraints pre-empt downstream strategy and construction,Confirmed,mechanic_dependency,"M-0001","mechanics/mechanic_dependency_register.md"
R-0001,planner_risk,Fake manual economy selection,Critical,planner_risk,"M-0002; planner_rules","planner/planner_risk_register.md"
R-0002,planner_risk,Surface recommendations on impossible bodies,Critical,planner_risk,"M-0001; planner_rules","planner/planner_risk_register.md"
R-0003,planner_risk,Weak-link overconfidence,High,planner_risk,"M-0003; M-0006","planner/planner_risk_register.md"
R-0004,planner_risk,Preview-state treated as completed-state truth,High,planner_risk,"EV-0003; anomaly_register","planner/planner_risk_register.md"
R-0005,planner_risk,Proposed-build totals treated as current buildability,High,planner_risk,"EV-0002; M-0004","planner/planner_risk_register.md"
R-0006,planner_risk,Identity collapse across same-name facilities or disputed architects,High,planner_risk,"identity_rules; anomaly_register","planner/planner_risk_register.md"
R-0007,planner_risk,Stale or mirrored sources override better evidence,High,planner_risk,"source_authority; contradictions","planner/planner_risk_register.md"
R-0008,planner_risk,Demolition advice without strong direct evidence,Critical,planner_risk,"knowledge_projection_rules; EV-0002","planner/planner_risk_register.md"
R-0009,planner_risk,Missing primary artifacts mistaken for completed extraction,Medium,planner_risk,"source_coverage; manual_research_gaps","planner/planner_risk_register.md"
U-0001,unknown,Economy percentages to commodity exposure,Open,unknown,"M-0002; M-0007","docs/unknowns_register.md"
U-0002,unknown,Rank order versus absolute percentage,Open,unknown,"M-0003; M-0006; EXP-0001","docs/unknowns_register.md"
