claim_id,source_entity,relationship,basis_note
CL-0001,OBS-0001,supported_by,Direct Wregoe observation preserved through EXP-0000
CL-0001,EXP-0000,produced_by,Experiment seed created the mechanic claim
CL-0001,M-0001,canonicalized_as,Claim formalized into canonical mechanic
CL-0002,OBS-0002,supported_by,Direct Wregoe observation preserved through EXP-0000
CL-0002,EXP-0000,produced_by,Experiment seed created the mechanic claim
CL-0002,M-0002,canonicalized_as,Claim formalized into canonical mechanic
CL-0003,OBS-0003,supported_by,Direct negative evidence from Wregoe
CL-0003,EV-0002,corroborated_by,Raven review context supports the narrow failure interpretation
CL-0003,M-0003,canonicalized_as,Claim formalized into canonical mechanic
CL-0003,C-0004,qualified_by,Broader weak-link generalization remains disputed
CL-0004,OBS-0004,supported_by,Structured facility-state extraction
CL-0004,EV-0001,derived_from,Post-build screenshot evidence record
CL-0005,OBS-0005,supported_by,Structured Market Links extraction
CL-0005,EV-0001,derived_from,Post-build screenshot evidence record
CL-0005,U-0006,limited_by,Aggregation behavior still unresolved
CL-0006,OBS-0006,supported_by,Structured post-build economy extraction
CL-0006,EV-0001,derived_from,Post-build screenshot evidence record
CL-0006,U-0001,limited_by,Commodity exposure transformation still unresolved
CL-0007,OBS-0007,supported_by,Structured commodity extraction
CL-0007,EV-0001,derived_from,Post-build screenshot evidence record
CL-0007,U-0001,limited_by,No direct commodity mapping formula yet
CL-0007,U-0002,limited_by,Rank versus absolute percentage still unresolved
CL-0008,OBS-0008,supported_by,Structured Raven planner-state extraction
CL-0008,OBS-0009,qualified_by,Placeholder-name interpretation rule
CL-0008,EV-0002,derived_from,Raven planning screenshots
CL-0008,U-0009,limited_by,Not all construction-point edge cases are known
CL-0009,OBS-0010,supported_by,Structured preview extraction
CL-0009,EV-0003,derived_from,Architect preview screenshots
CL-0010,OBS-0011,supported_by,Structured preview extraction
CL-0010,EV-0003,derived_from,Architect preview screenshots
CL-0010,C-0002,qualified_by,Station-class superiority remains unresolved
CL-0011,OBS-0012,uses_baseline,Before-state baseline for A4 experiment
CL-0011,OBS-0013,predicted_by,Experiment prediction
CL-0011,EXP-0001,derived_from,Active unresolved experiment
CL-0011,U-0001,limited_by,Commodity mapping still unresolved
CL-0011,U-0002,limited_by,Rank versus percentage still unresolved
CL-0012,docs/source_coverage_register.md,supported_by,Coverage register records absent primary artifacts
CL-0012,EV-0004,qualified_by,Reference pack exists only as metadata in repo
CL-0012,R-0009,informs,Prevents fabricated direct extraction claims
CL-0013,SRC-MG23,extracted_from,Elite Dangerous Colonization Mega Guide v2.3.0 / 27 / Before You Start: CP-Cost Increases For Tier 2 And Tier 3 Ports
CL-0014,SRC-MG23,extracted_from,Elite Dangerous Colonization Mega Guide v2.3.0 / 27 / Before You Start: CP-Cost Increases For Tier 2 And Tier 3 Ports
CL-0015,SRC-MG23,extracted_from,Elite Dangerous Colonization Mega Guide v2.3.0 / 27 / Before You Start: CP-Cost Increases For Tier 2 And Tier 3 Ports
CL-0016,SRC-MG23,extracted_from,Elite Dangerous Colonization Mega Guide v2.3.0 / 27 / Before You Start: CP-Cost Increases For Tier 2 And Tier 3 Ports
CL-0017,SRC-MG23,extracted_from,Elite Dangerous Colonization Mega Guide v2.3.0 / 27 / Before You Start: CP-Cost Increases For Tier 2 And Tier 3 Ports
CL-0018,SRC-MG23,extracted_from,Elite Dangerous Colonization Mega Guide v2.3.0 / 27 / Before You Start: CP-Cost Increases For Tier 2 And Tier 3 Ports
CL-0019,SRC-MG23,extracted_from,Elite Dangerous Colonization Mega Guide v2.3.0 / 27 / Before You Start: CP-Cost Increases For Tier 2 And Tier 3 Ports
CL-0020,SRC-MG23,extracted_from,Elite Dangerous Colonization Mega Guide v2.3.0 / 27 / Before You Start: CP-Cost Increases For Tier 2 And Tier 3 Ports
CL-0021,SRC-MG23,extracted_from,Elite Dangerous Colonization Mega Guide v2.3.0 / 27 / Before You Start: CP-Cost Increases For Tier 2 And Tier 3 Ports
CL-0022,SRC-MG23,extracted_from,Elite Dangerous Colonization Mega Guide v2.3.0 / 27 / Before You Start: CP-Cost Increases For Tier 2 And Tier 3 Ports
CL-0023,SRC-MG23,extracted_from,Elite Dangerous Colonization Mega Guide v2.3.0 / 27 / Before You Start: CP-Cost Increases For Tier 2 And Tier 3 Ports
CL-0024,SRC-MG23,extracted_from,Elite Dangerous Colonization Mega Guide v2.3.0 / 27 / Before You Start: CP-Cost Increases For Tier 2 And Tier 3 Ports
CL-0025,SRC-MG23,extracted_from,Elite Dangerous Colonization Mega Guide v2.3.0 / 47 / How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers
CL-0026,SRC-MG23,extracted_from,Elite Dangerous Colonization Mega Guide v2.3.0 / 47 / How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers
